Title,Brand,Standing.screen.display.size,Resolution,Processor.Brand,Processor.Type,Processor.Count,RAM.Size,Price,Customer.Review,Link,Times.Rated
"Dell Inspiron 3520 Laptop, Intel i5-1235U, 8GB, 512GB SSD, 15.6"" (39.62Cms) FHD WVA AG 120Hz 250 nits, Win 11 + MSO'21, Black (D560871WIN9B, 1.65Kgs)",Dell,15.6 Inches,1920 x 1080 Pixels,Intel,Core i5,1,8 GB,58340,4.7,https://www.amazon.in/Dell-Inspiron-i5-1235U-39-62Cms-D560871WIN9B/dp/B0BH4SCYQ3/ref=sr_1_14?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-14,1284
Acer Aspire 3 Intel Core i5 12th Generation (8GB/512 GB SSD/Windows 11 Home/MS Office/1.7 Kg/Silver) A315-59 with 15.6-inch (39.6 cms) Full HD Laptop,Acer,15.6 Inches,1920 X 1080 (FHD) Pixels,Intel,Core i5,1,8 GB,56990,3.8,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NDMwMjc2NzQ3MTU2OTk2OjE2NjgxNzA1NjY6c3BfbXRmOjIwMDgyNjMwOTY0ODk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&url=%2FAcer-Generation-Windows-A315-59-15-6-inch%2Fdp%2FB0B42RSQWR%2Fref%3Dsr_1_15_sspa%3Fcrid%3D21X0ZDNORCOI%26keywords%3Dlaptop%26qid%3D1668170566%26qu%3DeyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%253D%253D%26refinements%3Dp_n_feature_twenty-three_browse-bin%253A27387161031%257C27387168031%252Cp_72%253A1318476031%26rnid%3D1318475031%26s%3Dcomputers%26sprefix%3Dlaptop%252Caps%252C232%26sr%3D1-15-spons%26psc%3D1,581
"HP 15- AMD Ryzen 3-3250U 15.6 inches 39.6 cm FHD, Micro-Edge, Thin & Light Laptop (8 GB RAM/1TB HDD + 256GB SSD/ AMD Radeon Graphics/ Win11/MS Office/1.74 kg 15s-gr0012AU) Windows 11 Home",HP,15.6 Inches,1920 x 1080 Pixels,AMD,Ryzen 3,1,8 GB,39499,3.9,https://www.amazon.in/HP-3-3250-Laptop-Windows-15s-gr0012AU/dp/B08T6THSMQ/ref=sr_1_17?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-17,950
"ASUS ROG Strix G17, 17.3-inch (43.94 cms) FHD 144Hz, AMD Ryzen 7 4800H, RTX 3050 Ti 4GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 11//Gray/2.4 kg), G713IE-HX040W",ASUS,17.3 Inches,1920 X 1080 (FHD) Pixels,AMD,Ryzen 7,8,16 GB,85990,4,https://www.amazon.in/ASUS-17-3-inch-RTX-3050-Ti-Graphics-G713IE-HX040W/dp/B0B3DQ36P7/ref=sr_1_18?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-18,2014
"ASUS VivoBook 14 (2021), Intel Core i5-1035G1 10th Gen, 14-inch (35.56 cms) FHD Thin and Light Laptop (8GB/512GB SSD/Office 2021/Windows 11/Integrated Graphics/Silver/1.6 Kg), X415JA-EB521WS",ASUS,14 Inches,1920 X 1080 (FHD) Pixels,Intel,Core i5,4,8 GB,46990,4,https://www.amazon.in/ASUS-VivoBook-i5-1035G1-Integrated-X415JA-EB521WS/dp/B09VNZNF9L/ref=sr_1_19?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-19,1898
"Lenovo IdeaPad Slim 3 Intel Core i3 12th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/2Yr Warranty/3months Game Pass/Arctic Grey/1.63Kg), 82RK006DIN",Lenovo,15.6 Inches,1920X1080 Pixels,Intel,Core i3,6,8 GB,47490,4.2,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82RK006DIN/dp/B0B4JPC8GT/ref=sr_1_20?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-20,1411
"Dell Inspiron 3521 Laptop - Intel PQC-N5030, Windows 11 + Office 21, 8GB GDDR4, 256GB SSD, 15.6""/39.62Cms HD AG Narrow Border (D560756WIN9BE, Carbon Black, 1.61Kgs)",Dell,15.6 Inches,1920 x 1280 Pixels,Intel,Pentium,1,8 GB,32751,3.6,https://www.amazon.in/Dell-3521-PQC-N5030-Anti-Glare-D560756Win9Be/dp/B09TNX9B9F/ref=sr_1_21?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-21,1940
"ASUS Vivobook 15, 15.6-inch (39.62 cms) FHD, AMD Ryzen 3 3200U, Thin and Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.68 kg), X512DA-BQ311WS",ASUS,15.6 Inches,1920 X 1080 (FHD) Pixels,AMD,Ryzen 3,2,8 GB,36990,3.6,https://www.amazon.in/ASUS-Vivobook-15-6-inch-Integrated-X512DA-BQ311WS/dp/B0B4WK1Y6D/ref=sr_1_22?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-22,701
"HP 15s, 12th Gen Intel Core i5 8GB RAM/512GB SSD 15.6-inch(39.6 cm) Micro-Edge Anti-Glare FHD Laptop/Intel Iris Xe Graphics/Alexa/Dual Speakers/Win 11/MSO 2021/1.41 Kg, 15s- fq5111TU",HP,15.6 Inches,1920 X 1080 (FHD) Pixels,Intel,Core i5,1,8 GB,57890,4.1,https://www.amazon.in/HP-Micro-Edge-Anti-Glare-15s-fq5111TU/dp/B0B6F5V23N/ref=sr_1_24?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-24,2345
"Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SDD/Windows 11/Office 2021/2Yr Warranty/Arctic Grey/1.65Kg), 82H801LHIN",Lenovo,15.6 Inches,1920x1080 Pixels,Intel,Core i3,2,8 GB,38990,4.6,https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Warranty-82H801LHIN/dp/B0B5VBKV26/ref=sr_1_25?crid=21X0ZDNORCOI&keywords=laptop&qid=1668170566&qu=eyJxc2MiOiI5LjIyIiwicXNhIjoiOS40OSIsInFzcCI6IjYuODUifQ%3D%3D&refinements=p_n_feature_twenty-three_browse-bin%3A27387161031%7C27387168031%2Cp_72%3A1318476031&rnid=1318475031&s=computers&sprefix=laptop%2Caps%2C232&sr=1-25,1970
